epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
89,31279.9,0.65896,1.74937,0.17972,0.30203,0.01097,0.29459,0.97998,0.97922,0.99173,0.88919,0.91787,0.89665,0.90192,0.76936,0.52499,1.25286,0.04928,0.19234,0.0113,0,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,31630.6,0.66013,1.74093,0.17845,0.30617,0.01102,0.28861,0.97998,0.97914,0.99169,0.88941,0.91811,0.8969,0.90189,0.76939,0.52348,1.2497,0.04895,0.19333,0.01126,0,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,31994.8,0.50833,1.10584,0.07021,0.18264,0.01142,0.51859,0.97983,0.97948,0.99165,0.88997,0.91412,0.90202,0.90215,0.76952,0.52265,1.24749,0.0485,0.19289,0.01124,0,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,32344.3,0.493,1.05942,0.06509,0.17407,0.01099,0.45511,0.98037,0.98008,0.99163,0.88992,0.91424,0.90366,0.90239,0.76957,0.52211,1.24458,0.04789,0.19259,0.01123,0,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,32692.7,0.48485,1.04727,0.0641,0.16916,0.01078,0.40315,0.98044,0.98037,0.99162,0.89005,0.91369,0.90384,0.90238,0.76984,0.52106,1.24209,0.04723,0.19174,0.0112,0,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,33040.4,0.48098,1.02658,0.06225,0.16916,0.01065,0.40022,0.98037,0.9805,0.99159,0.89027,0.91782,0.90098,0.90264,0.77071,0.52028,1.23857,0.04657,0.19107,0.01118,0,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,33388.9,0.47206,1.00275,0.06142,0.16339,0.01038,0.35036,0.98024,0.97974,0.99162,0.89041,0.91407,0.90416,0.90271,0.77098,0.51964,1.2353,0.04587,0.19095,0.01117,0,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,33742.6,0.4709,0.99799,0.0604,0.16333,0.01036,0.33447,0.97891,0.98088,0.9917,0.89068,0.91852,0.90079,0.90293,0.77127,0.51914,1.23239,0.04521,0.19073,0.01116,0,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,34090.4,0.46188,0.98049,0.05927,0.16024,0.01011,0.29126,0.9795,0.98055,0.99185,0.89086,0.91486,0.90468,0.90306,0.77156,0.51849,1.22916,0.04454,0.1904,0.01115,0,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,34439.2,0.45687,0.96726,0.06026,0.16002,0.01004,0.27964,0.98029,0.97999,0.99214,0.89115,0.91531,0.90491,0.90326,0.77167,0.51753,1.22576,0.04394,0.19032,0.01113,0,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,34787,0.45441,0.96049,0.05946,0.15648,0.00998,0.27004,0.97963,0.98076,0.99189,0.89081,0.91579,0.90501,0.90322,0.77182,0.51662,1.22242,0.04327,0.19005,0.01111,0,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,35134.1,0.45072,0.93275,0.05696,0.15296,0.00984,0.24337,0.98007,0.98178,0.99174,0.89074,0.91688,0.90506,0.90333,0.7729,0.51583,1.21931,0.04257,0.1887,0.0111,0,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
