epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
21,7610.57,0.89944,2.98609,0.25695,0.4626,0.01583,2.2701,0.96991,0.96636,0.98874,0.83941,0.84329,0.80923,0.79463,0.65173,0.66627,1.90721,0.08256,0.25723,0.01468,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,7973.98,0.89191,2.92321,0.25474,0.45176,0.0157,2.18259,0.95677,0.96738,0.98792,0.84842,0.86096,0.81534,0.81237,0.66893,0.64487,1.8027,0.07433,0.26059,0.01424,0,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,8334.99,0.87853,2.88406,0.25081,0.44534,0.0154,2.11143,0.96691,0.96824,0.98879,0.8516,0.84396,0.8235,0.81212,0.6716,0.63824,1.80209,0.07052,0.25006,0.01407,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,8695.81,0.88057,2.86204,0.2536,0.44564,0.01542,2.05659,0.96442,0.96715,0.98877,0.85236,0.86631,0.82872,0.82762,0.67926,0.63498,1.7359,0.07379,0.25199,0.01397,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,9054.83,0.88563,2.89121,0.25148,0.44338,0.01553,2.10253,0.96668,0.96687,0.98865,0.85339,0.87451,0.83838,0.83932,0.68759,0.634,1.6763,0.07372,0.2532,0.01404,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,9414.89,0.87371,2.81476,0.249,0.4371,0.01524,1.96396,0.96084,0.96937,0.98802,0.85289,0.87022,0.82847,0.83468,0.68809,0.63313,1.70127,0.06873,0.25247,0.01395,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,9779.16,0.86539,2.77654,0.24487,0.43179,0.01517,1.92034,0.96799,0.96729,0.98925,0.85903,0.86229,0.84187,0.83506,0.69234,0.61838,1.68003,0.06639,0.24529,0.01349,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,10133.7,0.85746,2.75405,0.24507,0.43192,0.0149,1.85705,0.97371,0.96827,0.98962,0.85603,0.87533,0.84797,0.84683,0.69823,0.62665,1.63731,0.06745,0.23971,0.01383,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,10481,0.85317,2.71938,0.24284,0.42381,0.01484,1.79431,0.97166,0.9742,0.99025,0.86241,0.86702,0.83335,0.83314,0.69445,0.61232,1.67215,0.06808,0.23494,0.01344,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,10827,0.84948,2.67652,0.23961,0.41771,0.01473,1.73543,0.96822,0.97196,0.98972,0.86431,0.86955,0.84695,0.83882,0.69913,0.60354,1.62392,0.06894,0.2343,0.01322,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
